k_wil;nama_sls;rt;art;validasi;perlakuan;cek;catatan
1206030026000100-14                            ;DUSUN 1;14;5;Anak di bawah umur 10 Tahun Kesulitan Mengurus Diri Sendiri;Perhatikan isiannya, jika memang bayi tidak ada catatan mengalami cacat maka bayi tidak mengalami kesulitan. Ganti kodenya menjadi tidak mengalami kesulitan (428h tidak berkode 4);;
1206050010000400-18                            ;DUSUN PONDOK PABRIK;18;5;Anak di bawah umur 10 Tahun Kesulitan Mengurus Diri Sendiri;Perhatikan isiannya, jika memang bayi tidak ada catatan mengalami cacat maka bayi tidak mengalami kesulitan. Ganti kodenya menjadi tidak mengalami kesulitan (428h tidak berkode 4);;
1206073001000300-8                             ;DUSUN 3;8;6;Anak di bawah umur 10 Tahun Kesulitan Mengurus Diri Sendiri;Perhatikan isiannya, jika memang bayi tidak ada catatan mengalami cacat maka bayi tidak mengalami kesulitan. Ganti kodenya menjadi tidak mengalami kesulitan (428h tidak berkode 4);;
1206073009000200-35                            ;DUSUN 2;35;6;Anak di bawah umur 10 Tahun Kesulitan Mengurus Diri Sendiri;Perhatikan isiannya, jika memang bayi tidak ada catatan mengalami cacat maka bayi tidak mengalami kesulitan. Ganti kodenya menjadi tidak mengalami kesulitan (428h tidak berkode 4);;
1206082003000200-95                            ;DUSUN 2;95;3;Anak di bawah umur 10 Tahun Kesulitan Mengurus Diri Sendiri;Perhatikan isiannya, jika memang bayi tidak ada catatan mengalami cacat maka bayi tidak mengalami kesulitan. Ganti kodenya menjadi tidak mengalami kesulitan (428h tidak berkode 4);;
1206030010000100-73                            ;DUSUN PANDUMAAN;73;1;Jumlah Karyawan Dibayar 10+, tapi Omzet 1;Cek kondisi, apa memang iya karyawannya lebih dari 10 tetapi omsetnya kecil? Jika salah, diperbaiki di entrian dan dokumen ya;;
1206030015000100-86                            ;DUSUN 1 LUMBAN GINABEAN;86;1;Jumlah Karyawan Dibayar 10+, tapi Omzet 1;Cek kondisi, apa memang iya karyawannya lebih dari 10 tetapi omsetnya kecil? Jika salah, diperbaiki di entrian dan dokumen ya;;
1206030018000200-47                            ;LINGKUNGAN 2;47;3;Jumlah Karyawan Dibayar 10+, tapi Omzet 1;Cek kondisi, apa memang iya karyawannya lebih dari 10 tetapi omsetnya kecil? Jika salah, diperbaiki di entrian dan dokumen ya;;
1206030019000100-18                            ;LINGKUNGAN 1;18;1;Jumlah Karyawan Dibayar 10+, tapi Omzet 1;Cek kondisi, apa memang iya karyawannya lebih dari 10 tetapi omsetnya kecil? Jika salah, diperbaiki di entrian dan dokumen ya;;
1206030021000301-12                            ;LINGKUNGAN 3;12;1;Jumlah Karyawan Dibayar 10+, tapi Omzet 1;Cek kondisi, apa memang iya karyawannya lebih dari 10 tetapi omsetnya kecil? Jika salah, diperbaiki di entrian dan dokumen ya;;
1206030033000400-21                            ;LINGKUNGAN 2;21;1;Jumlah Karyawan Dibayar 10+, tapi Omzet 1;Cek kondisi, apa memang iya karyawannya lebih dari 10 tetapi omsetnya kecil? Jika salah, diperbaiki di entrian dan dokumen ya;;
1206031003000300-37                            ;DUSUN 3;37;1;Jumlah Karyawan Dibayar 10+, tapi Omzet 1;Cek kondisi, apa memang iya karyawannya lebih dari 10 tetapi omsetnya kecil? Jika salah, diperbaiki di entrian dan dokumen ya;;
1206050004000900-30                            ;DUSUN 9;30;1;Jumlah Karyawan Dibayar 10+, tapi Omzet 1;Cek kondisi, apa memang iya karyawannya lebih dari 10 tetapi omsetnya kecil? Jika salah, diperbaiki di entrian dan dokumen ya;;
1206051012000100-114                           ;DUSUN 1;114;1;Jumlah Karyawan Dibayar 10+, tapi Omzet 1;Cek kondisi, apa memang iya karyawannya lebih dari 10 tetapi omsetnya kecil? Jika salah, diperbaiki di entrian dan dokumen ya;;
1206082008000200-112                           ;DUSUN 2;112;1;Jumlah Karyawan Dibayar 10+, tapi Omzet 1;Cek kondisi, apa memang iya karyawannya lebih dari 10 tetapi omsetnya kecil? Jika salah, diperbaiki di entrian dan dokumen ya;;
1206030007000100-92                            ;DUSUN 1 HUTAGAOL;92;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030007000400-32                            ;DUSUN 4 SOSOR DOLOK;32;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030007000500-7                             ;DUSUN 5 PEATALUM;7;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030011000200-20                            ;DUSUN PATOGU;20;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030015000400-107                           ;DUSUN 4 SIANIPAR BALIGE;107;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030016000200-106                           ;DUSUN 2;106;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030017000102-110                           ;DUSUN 1;110;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030017000200-42                            ;DUSUN 2;42;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030017000200-55                            ;DUSUN 2;55;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030017000200-70                            ;DUSUN 2;70;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030018000200-144                           ;LINGKUNGAN 2;144;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030018000200-4                             ;LINGKUNGAN 2;4;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030019000100-125                           ;LINGKUNGAN 1;125;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030019000200-105                           ;LINGKUNGAN 2;105;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030019000401-34                            ;LINGKUNGAN 4;34;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030020000400-20                            ;LINGKUNGAN 4;20;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030021000301-92                            ;LINGKUNGAN 3;92;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030023000200-44                            ;DUSUN SIMPANG EMPAT;44;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030023000200-66                            ;DUSUN SIMPANG EMPAT;66;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030026000100-69                            ;DUSUN 1;69;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030026000300-81                            ;DUSUN 3;81;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030027000200-30                            ;DUSUN GALA GALA;30;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030027000700-18                            ;DUSUN SIMPANG TIGA;18;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030028000100-34                            ;DUSUN 1;34;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206030030000100-182                           ;DUSUN 1;182;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
